Designator,Mid X,Mid Y,Rotation,Layer
R7,89.7635,-97.6961,0,top
R8,89.7635,-94.615,0,top
R9,89.7635,-92.6161,0,top
R10,96.1135,-87.5361,90,top
R11,78.7745,-126.6121,180,top
R12,96.1135,-91.3461,90,top
R13,96.1135,-95.1561,90,top
R14,83.8844,-118.1735,0,top
R15,93.8784,-78.2955,90,top
R16,89.7635,-90.0761,0,top
R17,89.7635,-118.0161,180,top
R18,89.7635,-112.9361,180,top
R19,96.1135,-98.9661,90,top
R20,89.7635,-120.5561,180,top
R21,89.7635,-115.4761,180,top
R22,82.5245,-120.8271,0,top
R23,96.1135,-102.7761,90,top
R24,82.5245,-123.3671,180,top
R25,83.8844,-115.7605,180,top
R26,96.1135,-106.5861,90,top
R27,96.1135,-110.3961,90,top
R29,96.1135,-114.2061,90,top
R30,158.6103,-82.2951,270,top
R31,89.7635,-87.5361,0,top
R32,139.4235,-112.9836,270,top
R33,143.486,-112.9836,270,top
R34,163.6776,-81.0124,270,top
R35,90.211,-127.0086,0,top
R36,86.5885,-127.0086,0,top
R37,118.6735,-74.6661,0,top
R38,124.7235,-77.1061,0,top
R39,116.2985,-79.5461,90,top
R40,130.3435,-123.0961,180,top
R41,126.611,-120.5561,180,top
R42,122.7835,-120.5561,180,top
R43,143.1035,-70.4011,90,top
R44,118.9735,-120.5561,180,top
R45,122.7835,-118.0161,0,top
R46,115.1635,-120.5561,180,top
R47,118.6435,-67.2161,0,top
R48,124.7135,-67.2161,0,top
R49,129.1335,-67.2161,0,top
R50,124.6885,-72.2961,0,top
R51,129.1335,-72.2961,0,top
R52,94.911,-122.7511,270,top
R53,169.0878,-79.7188,270,top
R54,174.1551,-78.4597,270,top
R55,186.6011,-71.5137,0,top
R56,186.5607,-62.3189,0,top
R57,178.8414,-77.3294,270,top
R58,185.1914,-75.946,270,top
R59,186.5607,-66.7893,180,top
R60,182.3974,-66.802,0,top
R61,182.514,-71.501,0,top
R62,182.3189,-62.3062,0,top
R63,196.4944,-122.4152,90,top
R64,195.0944,-126.4158,0,top
R65,196.6595,-114.7317,270,top
R66,195.2595,-118.0719,0,top
R67,196.5833,-105.8544,270,top
R68,195.202,-110.0963,0,top
R69,169.7893,-107.6071,180,top
R70,169.5958,-103.5812,180,top
R71,33.2891,-116.7511,0,top
R72,38.3056,-66.9798,0,top
R73,38.2548,-62.9793,0,top
R74,157.7825,-120.7643,0,top
R75,157.719,-117.3607,0,top
R76,157.6301,-113.9952,0,top
R77,157.6047,-110.6805,0,top
R78,153.6162,-98.8822,0,top
R79,153.5968,-96.3422,0,top
R80,142.71752,-40.2336,180,top
R_VFC_in1,123.2154,-24.09712,270,top
R_VFC_s1,130.90906,-40.49776,0,top
R_VFC_t1,126.74092,-23.9498,90,top
Rl6,171.3206,-110.109,0,top
Rl7,171.3841,-112.6617,0,top
Rl8,171.2063,-115.2017,0,top
Rl9,171.2317,-117.7544,0,top
Rl10,171.3508,-120.2563,0,top
Rl11,192.7225,-95.7072,90,top
Rl12,89.36736,-96.15424,180,top
Rl13,78.74268,-85.87232,180,top
Rl14,93.3172,-93.4085,180,top
Rl15,93.55596,-100.07092,180,top
Rl16,62.6388,-56.4515,180,top
Rl17,77.3279,-55.1688,0,top
SJ1,85.1154,-85.1535,90,top
SJ2,87.236,-112.9836,0,top
SJ3,86.9235,-117.9836,0,top
SJ4,86.3854,-124.3965,270,top
T1,66.294,-49.8983,0,top
T2,77.6732,-49.7586,0,top
U$1,88.773,-54.1655,0,top
U1,136.3853,-69.9531,270,top
